OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length,Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw,wikipedia_url_sam,Does_Sam_Think_is_real,dob_sam,status,match_confidence,validated,validation_notes,summary,education,dod_sam,place_of_birth,place_of_death,gender_sam,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,name_sam
160,Miami‐Dade,87,Rene Ledesma Way,"That portion of S.R. 973/S.W. 87th Avenue between S.W. 68th Street and S.W. 70th Street in Miami-Dade County is designated as ""Rene Ledesma Way.""",SR-973,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,S.W. 87th Avenue,,,,,,158,,0,52e7d384-cefc-4886-89f0-cab0c2d6d36a,222.553822487269,,,,,,,,,,,,,https://en.wikipedia.org/wiki/RJ_Ledesma,no,1976-10-12,Found,50,TRUE,seq=16.4; human:+40; fl-miss:-10,"RJ Ledesma is a Filipino television host, actor, writer, and entrepreneur born on October 12, 1976. He is best known for his work as a VJ on MTV Asia and as a host on various Philippine TV shows, including The Morning Rush and The Late Night Show. Beyond media, Ledesma has authored books like Shift and co-founded businesses such as Mercato Centrale, a popular weekend market in Manila. His career spans entertainment, literature, and entrepreneurship, making him a prominent multi-hyphenate figure in the Philippines.","['Ateneo de Manila University, Bachelor of Science in Management Engineering', 'Columbia University, Master of Science in Journalism (unverified, per some sources)']",,"Manila, Philippines",not found,male,no,no,no,no,Rene Ledesma
161,Miami‐Dade,87,Sabre Way,"That portion of S.R. 973/S.W. 87th Avenue between S.W. 24th Street/Coral Way and S.W. 32nd Street in Miami-Dade County is designated as ""Sabre Way.""",SR-973,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,S.W. 87th Avenue,,,,,,159,,0,0474a9d3-8891-49cc-ae33-c72f580b4728,890.584166443317,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Casey_Fitzgerald_%28ice_hockey%29,no,1997-02-02,Found,55,TRUE,seq=3.8; last-mismatch:-4; human:+40; fl:+10; us:+5,"Casey Fitzgerald is an American professional ice hockey defenseman born on February 2, 1997. He played collegiate hockey for Boston College, where he earned recognition for his defensive skills and leadership. Drafted by the Buffalo Sabres in the 2016 NHL Entry Draft (86th overall), he later transitioned to the professional ranks, including stints in the AHL and ECHL. Fitzgerald continues to contribute to the sport as a skilled defenseman with a strong amateur and collegiate background.","['Boston College Eagles (NCAA)', 'High School: North Reading High School (Massachusetts)']",,"North Reading, Massachusetts, United States",not found,male,yes,no,no,no,Sabre
162,Miami‐Dade,87,"U.S. Army Sergeant Amaru Aguilar‐Borgen Memorial Highway
","That portion of S.R. 973/S.W. 87th Avenue between S.R. 836/Dolphin Expressway and S.W. 24th Street in Miami-Dade County is designated as ""U.S. Army Sergeant Amaru Aguilar-Borgen Memorial Highway.""",SR-973,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,S.W. 87th Avenue,,,,,,160,,0,ef2e6b28-0002-4d84-843a-29b9676d71d4,4324.71809043128,,,,,,,,,,,,,Not Found,no,,Not Found,0,FALSE,no-candidates,,,,,,,,,,,U.S. Army Sergeant Amaru Aguilar‐Borgen
163,Miami‐Dade,87,Larcenia Bullard Way,"That portion of S.R. 992/152nd Street between U.S. 1 and 117th Avenue in Miami-Dade County is designated as ""Larcenia Bullard Way.""",SR-992,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,152nd Street,,,,,,161,,0,770a0300-96ef-4100-bdfc-0526ccb4fc31,4589.22872182608,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Larcenia_Bullard,yes,1947-01-01,Found,75,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Larcenia Bullard was a Florida politician who served in the Florida House of Representatives from 2000 to 2008. Born in 1947, she became the first African-American woman to represent Miami-Dade County in the state legislature. Bullard was known for her advocacy on education, healthcare, and social justice issues during her tenure. Her political career marked significant progress for minority representation in Florida government.",,,not found,not found,female,no,yes,no,no,Larcenia Bullard
164,Miami‐Dade,87,Reverend John A. Ferguson Street,"That portion of S.R. 992/S.W. 152nd Street/Coral Reef Drive between S.R. 821/Homestead Extension of the Florida Turnpike and S.W. 99th Court in Miami-Dade County is designated as ""Reverend John A. Ferguson Street.""",SR-992,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,S.W. 152nd Street,,,,,,162,,0,7e80c814-1f57-46c6-9d85-fad3578be765,2879.79012419417,,,,,,,,,,,,,https://en.wikipedia.org/wiki/George_W._Bush,no,1946-07-06,Found,56.2,TRUE,seq=7.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"George W. Bush was born on July 6, 1946, in New Haven, Connecticut, USA, and is the 43rd President of the United States, serving from 2001 to 2009. A member of the Republican Party, he previously served as the 46th Governor of Texas from 1995 to 2000 and is known for his leadership during the September 11 attacks and the subsequent War on Terror. Before entering politics, he earned an MBA from Harvard Business School and worked in the oil industry, later co-owning the Texas Rangers baseball team. Bush remains a significant figure in modern American political history for his policies on national security, education reform, and tax cuts, as well as his controversial decisions like the Iraq War.","['Yale University, Bachelor of Arts in History (1968)', 'Harvard Business School, Master of Business Administration (1975)']",,"New Haven, Connecticut, United States",not found,male,yes,yes,yes,no,Reverend John A. Ferguson
165,Miami‐Dade,87,Robert M. Levy Memorial Boulevard,"That portion of S.R. 997/Krome Avenue between S.W. 344th Street and S.W. 177th Court in Miami-Dade County is designated as ""Robert M. Levy Memorial Boulevard.""",SR-997,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,6,South Krome Avenue,,,,,,163,,0,39df0484-23c1-42ac-93d9-4fc5f1f3c2e2,1056.73377789034,,,,,,,,,,,,,https://en.wikipedia.org/wiki/David_Levy_Yulee,no,1810-06-12,Found,55.7,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"David Levy Yulee was born on June 12, 1810, and died on October 10, 1886. He was a prominent American politician and businessman, serving as the first Jewish member of the United States Senate after Florida’s admission to the Union in 1845. Yulee played a key role in Florida’s development, advocating for railroad expansion and economic growth while also supporting the Confederacy during the Civil War. His political career spanned both state and federal levels, leaving a lasting legacy in Florida’s early history as a U.S. state.","['Norwich Military Academy (now Norwich University), Northfield, Vermont', 'Studied law (informal apprenticeship, no degree specified)']",1886-10-10,"St. Thomas, Danish West Indies (now U.S. Virgin Islands)","New York City, New York, USA",male,no,yes,yes,no,Robert M. Levy
166,Miami‐Dade,87,Arthur & Polly Mays Memorial Highway,"That portion of U.S. 1/S.R. 5/S. Dixie Highway between S.W. 220th Street to S.W. 216th Street in Miami-Dade County is designated as ""Arthur & Polly Mays Memorial Highway.""",US-1,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,S. Dixie Highway,,,,,,164,,1,eaf2c8ce-9508-4c40-95cd-de4d0948f4a7,609.515690934486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Miami‐Dade,87,Lourdes Guzman‐DeJeus Street,"That portion of U.S. 1/S.R. 5/S. Dixie Highway between S.W. 296th Street and S.W. 288th Street in Miami-Dade County is designated as ""Lourdes Guzman-DeJesus Street.""",US-1,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,S. Dixie Highway,,,,,,165,,0,89737df1-f59c-4298-9511-6c03ba48e37e,1237.3444383006,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Battle_of_the_Brains_%28Philippine_game_show%29,no,,Found,0,TRUE,seq=3.9; last-mismatch:-4; fl-miss:-10; nobility:-40,"The provided content describes Battle of the Brains, a Philippine game show rather than a biographical subject. It features academic competitions among students, hosted by various presenters over its run. The show emphasizes intellectual challenges and team-based tournament formats. No individual biographical details such as birth, death, or personal achievements are included in the provided text.",,,not found,not found,not found,no,no,no,no,Lourdes Guzman‐DeJeus
168,Miami‐Dade,87,Herman Echevarria Way,"That portion of U.S 27/S.R. 25 between W. 9th Street and E/S.E. 1st Avenue within the city of Hialeah is designated as ""Herman Echevarria Way.""",US-27,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,6,Okeechobee Road,,,,,,166,,0,58544b27-3f50-4013-aff4-7d7738104d1b,1486.23390379491,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Satchel_Paige,no,1906-07-07,Found,32,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10,"Leroy Robert 'Satchel' Paige was a legendary American baseball pitcher born around July 7, 1906, and died on June 8, 1982. Known for his extraordinary fastball and showmanship, he became one of the most dominant pitchers in the Negro leagues during the 1930s and 1940s. Paige broke racial barriers by becoming the oldest rookie in Major League Baseball (MLB) history when he debuted for the Cleveland Indians in 1948 at age 42. His career spanned over four decades, earning him induction into the Baseball Hall of Fame in 1971 as the first Negro leagues player to receive this honor.",,1982-06-08,"Mobile, Alabama, United States","Kansas City, Missouri, United States",male,yes,no,no,no,Herman Echevarria
169,Miami‐Dade,87,Belen Presidents Way,"That portion of U.S. 41/S.R. 90/Tamiami Trail/S.W. 8th Street between S.W. 127th Avenue to S.W. 132nd Avenue in Miami-Dade County is designated as ""Belen Presidents Way.""",US-41,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,Tamiami Trail,,,,,,167,,0,56baf497-c67e-4e18-a1c4-93e1eb026477,1015.60615517264,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Carlos_Pr%C3%ADo_Socarr%C3%A1s,no,1903-07-14,Found,55.7,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Carlos Prío Socarrás was a Cuban politician born on July 14, 1903, who served as the President of Cuba from 1948 to 1952. Known for his progressive reforms, he implemented policies to improve education, labor rights, and social welfare during his presidency. His administration was marked by economic growth but also faced allegations of corruption and political instability. Prío died in exile in Miami, Florida, on April 5, 1977, following the Cuban Revolution that ousted his government.","['University of Havana', 'Doctor of Civil Law and Public Law']",1977-04-05,"Bahía Honda, Pinar del Río, Cuba","Miami, Florida, United States",male,no,yes,no,no,Belen Presidents
170,Miami‐Dade,87,Betty Pino Way,"That portion of U.S. 41/S.R. 90/Tamiami Trail/S.W. 8th Street between S.W. 37th Avenue and Ponce de Leon Boulevard in Miami-Dade County is designated as ""Betty Pino Way.""",US-41,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,Tamiami Trail,,,,,,168,,0,4e8ccd5b-b535-44b9-8ebc-2f789934f226,432.098045169947,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Betty_Pino,yes,,Found,50,TRUE,seq=20.0; human:+40; fl-miss:-10,"Betty Pino was a notable figure whose life details remain largely undocumented in widely available sources. She is primarily recognized posthumously, with limited public records about her birth, career, or major achievements. The exact nature of her profession or contributions is unclear, though references suggest she may have had regional or cultural significance. Her death is recorded, but specific dates and biographical context are sparse in accessible references.",,,not found,not found,female,no,no,no,no,Betty Pino
171,Miami‐Dade,87,Lorenzo de Toro Way,"That portion of U.S. 41/S.R. 90/S.W. 8th Street between S.W. 53rd Avenue and S.W. 56th Avenue in Miami-Dade County is designated as ""Lorenzo de Toro Way.""",US-41,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,6,S.W. 8th Street,,,,,,169,,0,04ec9085-3b52-4cdc-8bb0-9beb96a584e1,457.280109087715,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Alonzo_Gee,no,1987-05-29,Found,60.2,TRUE,seq=11.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Alonzo Gee is a former American professional basketball player born on May 29, 1987. He played as a small forward in the NBA, known for his defensive skills and athleticism during his career. Gee spent time with multiple NBA teams, including the Cleveland Cavaliers, Washington Wizards, and San Antonio Spurs, as well as in the NBA G League. His contributions on the court earned him recognition as a reliable role player during his active years from 2009 to 2016.","['DeSoto High School', 'University of Alabama']",,"Riviera Beach, Florida, United States",not found,male,yes,no,no,no,Lorenzo de Toro
172,Miami‐Dade,87,Muhammad Ali Boulevard,"That portion of U.S. 441/S.R. 7 between N.W. 52nd Street and N.W. 65th Street in Miami-Dade County is designated as ""Muhammad Ali Boulevard.""",US-441,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,6,,,,,,,170,,0,0ceee3f7-8cf5-49c4-91c1-4c2c71c2b30c,1481.14888471135,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Laila_Ali,no,1977-12-30,Found,70.4,TRUE,seq=11.4; human:+40; fl:+10; us:+5,"Laila Ali was born on December 30, 1977, in Miami Beach, Florida, USA, as the daughter of legendary boxer Muhammad Ali. She became a professional boxer in 1999 and achieved an undefeated record of 24-0, holding multiple world titles in the super middleweight division. Beyond boxing, she expanded her career into television, appearing as a host, commentator, and competitor on shows like American Gladiators and Dancing with the Stars. Ali is also recognized for her advocacy work in health, fitness, and women’s empowerment, cementing her legacy as a trailblazer in sports and media.",,,"Miami Beach, Florida, United States",not found,female,yes,no,no,no,Muhammad Ali
173,Miami‐Dade,87,Nelson Mandela Boulevard,"That portion of U.S. 441/S.R. 7/N.W. 2nd Avenue between S.R. 860/N.W. 183rd Street and S.R. 852/N.W. 215th/County Line Road in Miami-Dade County is designated as ""Nelson Mandela Boulevard.""",US-441,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,6,N.W. 2nd Avenue,,,,,,171,,0,aa44d597-279f-463a-a283-05e9d22f4eb1,3749.02642203645,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Nelson_Mandela,no,1918-07-18,Found,50,TRUE,seq=20.0; human:+40; fl-miss:-10,"Nelson Mandela was born on July 18, 1918, in Mvezo, South Africa, and died on December 5, 2013, in Johannesburg. He was a revolutionary anti-apartheid activist, politician, and philanthropist who became South Africa’s first Black president (1994–1999) after spending 27 years in prison for his opposition to racial segregation. A lawyer by profession, Mandela co-founded the militant Umkhonto we Sizwe in 1961 and led negotiations to dismantle apartheid, earning global acclaim for his advocacy of reconciliation and human rights. His legacy endures as a symbol of resistance against oppression and a champion of democracy, peace, and social justice worldwide.","['Clarkebury Boarding Institute (secondary education)', 'Healdtown Methodist Boarding School (secondary education)', 'University of Fort Hare (BA, unfinished)', 'University of Witwatersrand (LLB, completed via correspondence)', 'University of London (external law program, unfinished)']",2013-12-05,"Mvezo, Eastern Cape, South Africa","Johannesburg, Gauteng, South Africa",male,yes,yes,yes,no,Nelson Mandela
174,Monroe,90,Indian Key Irving R. Eyster Bridge,"Bridge number 900095 over Indian Key Channel on U.S. 1/S.R. 5 in Monroe County is designated as ""Indian Key Irving R. Eyster Bridge.""",,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014,6,,,,,,,172,,0,ab514956-e37a-4098-b15e-ade4865b3e6f,687.30403425946,,,,,,,,,,,,,https://en.wikipedia.org/wiki/List_of_district_attorneys_in_the_United_States,no,,Found,0,TRUE,seq=5.4; last-mismatch:-4; fl-miss:-10; nobility:-40,"The provided content is a Wikipedia navigation page for a list of district attorneys in the United States, not a biographical entry about an individual. District attorneys are public officials who represent the government in prosecuting criminal offenses within their jurisdictions. This page serves as a directory rather than detailing the life of a specific person. No birth, death, or personal achievement details are available in the provided content.",,,not found,not found,not found,no,no,no,no,Indian Key Irving R. Eyster
175,Monroe,90,Irene U. Hooper Memorial Bridges,"The pair of bridges, bridge numbers 900110 and 900111, over Pine Channel on U.S. 1/S.R. 5 in Monroe County is designated as the ""Irene U. Hooper Memorial Bridges.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,6,,,,,,,173,,0,ad7c8f42-33f8-491b-b6a3-f94a0195779d,560.287276786229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Hillsborough,10,POW/MIA Memorial Highway,That portion of S.R. 574 between I-75/S.R. 93A and I-4/S.R. 400 in Hillsborough County is designated as “POW/MIA Memorial Highway.”,SR-574,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014,7,,,,,,,174,,1,75450bc1-2f9c-4fed-8d80-3b48c9d22cc0,7124.38846214909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Hillsborough,10,"RADM LeRoy Collins, Jr., Veterans Expressway","That portion of S.R. 589 and S.R. 568/Veterans Expressway between S.R. 60/Courtney Campbell Causeway and S.R. 597/Dale Mabry Highway in Hillsborough County is designated as “RADM LeRoy Collins, Jr., Veterans Expressway.”",SR-589,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014,7,Veterans Expressway,,,,,,175,,1,0a7ce6de-8686-4ea8-bdb5-8a92ef84971a,28190.9678452232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Pasco,14,Gulf Coast Highway,"That portion of U.S. 19/S.R. 55 between the Pinellas County line and the Hernando County line in Pasco County is designated as ""Gulf Coast Highway.""",US-19,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,7,,,,,,,176,,0,2afff1bc-6527-4b1f-bd17-1a250f4b7341,36106.7650135543,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Florida_Gulf_Coast,no,,Found,33.3,TRUE,seq=14.3; fl:+10; us:+5,"The provided content does not contain biographical information about an individual but instead references 'Florida Gulf Coast,' likely a geographic region or institution. No birth/death dates, notable achievements, profession, or historical significance for a person were found in the material. The Wikipedia navigation and tools displayed are unrelated to any individual's biography. Without specific details, no personal summary can be generated.",,,not found,not found,not found,no,no,no,no,Gulf Coast
179,Pinellas,15,C.W. 'Bill' Young Memorial Highway,"That portion of S.R. 694/C.R. 694/Park Boulevard between U.S. 19/S.R. 55 and S.R. 699 Gulf Boulevard in Pinellas County is designated as ""C.W. 'Bill' Young Memorial Highway.""",,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014,7,Park Boulevard,,,,,,177,,1,74262614-e49d-488c-88ae-e0c06f2e67cf,6491.638605733,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Bill_Young_%28Florida_politician%29,yes,1930-12-16,Found,73.8,TRUE,seq=14.8; human:+40; fl:+10; us:+5,"C. W. Bill Young was an American politician born on December 16, 1930, who served as a Republican member of the U.S. House of Representatives from Florida for over four decades. Known for his influential role in defense and appropriations committees, he became the longest-serving Republican in the House at the time of his death. Young began his political career in the Florida Senate before transitioning to federal office in 1971, where he championed military and veterans' issues. He passed away on October 18, 2013, leaving a legacy as one of Florida’s most prominent political figures.","['Emory University', 'Bachelor of Arts', 'Stetson University College of Law', 'Juris Doctor']",2013-10-18,"Harmarville, Pennsylvania, United States","Bethesda, Maryland, United States",male,no,yes,yes,no,C.W. 'Bill' Young
180,Pinellas,15,C. Bette Wimbish Highway,"That portion of I-375/S.R. 592 between I-275 and S.R. 595/4th Avenue in Pinellas County is designated as ""C. Bette Wimbish Highway.""",I-375,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,7,,,,,,,178,,0,bf70c9ae-766f-4c08-bc89-f5e12d46dd64,1689.76035558173,,,,,,,,,,,,,https://en.wikipedia.org/wiki/C._Bette_Wimbish,yes,1924-01-01,Found,75,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"C. Bette Wimbish was an American civil rights activist and attorney born in 1924. She became the first African American woman to graduate from the University of Florida Levin College of Law in 1965, breaking racial barriers in higher education. Wimbish was actively involved in political activism, advocating for desegregation and equal rights during the Civil Rights Movement. She passed away in 2019, leaving a legacy as a trailblazer in law and social justice.","[""Florida A&M University, Bachelor's degree"", 'University of Florida Levin College of Law, Juris Doctor (1965)']",2019-01-01,not found,not found,female,no,yes,no,no,C. Bette Wimbish
181,Pinellas,15,Senator Gerald S. ‘Jerry’ Rehm Highway,"That portion of S.R. 580 in Pinellas County is designated as ""Senator Gerald S. 'Jerry' Rehm Highway.""",SR-580,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,7,,,,,,,179,,0,7193b15f-d68d-42df-b41a-dc1dd3caa154,16823.2368249595,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Jerry_Rehm,yes,,Found,69,TRUE,seq=10.0; human:+40; fl:+10; us:+5,"Jerry Rehm was an American politician and military officer. He served as a member of the United States House of Representatives from Wisconsin's 3rd congressional district from 1933 to 1939. Rehm was a Republican and had a background in law before entering politics. His career included military service, though specific details about his birth, death, and other personal milestones are not widely documented.",,,not found,not found,male,no,yes,yes,no,Senator Gerald S. ‘Jerry’ Rehm
182,Pinellas,15,Purple Heart Trail,"That portion of S.R. 60 between the Hillsborough County line and Mandalay Avenue in Pinellas County is designated as ""Purple Heart Trail.""",SR-60,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,7,Causeway Boulevard,,,,,,180,,0,341ecb6d-9b14-477f-bd1f-7eb63895ee5e,20836.1568010076,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Thomas_R._Norris,no,1944-01-14,Found,50,TRUE,seq=4.3; last-mismatch:-4; human:+40; fl:+10,"Thomas R. Norris was a highly decorated United States Navy SEAL and later an FBI agent, born on January 14, 1944. He is best known for his heroic actions during the Vietnam War, particularly the 1972 ground rescue of two downed pilots behind enemy lines, for which he received the Medal of Honor. Norris also conducted critical intelligence-gathering missions and was one of the most celebrated SEALs of his era. After his military career, he transitioned to law enforcement, serving in the FBI until his retirement in 1979 due to injuries sustained in combat.","['University of Maryland, College Park', 'Bachelor of Science in Sociology']",,"Jacksonville, Florida, United States",not found,male,no,no,yes,no,Purple Heart
239,Charlotte,1,Albert W. Gilchrist Bridge,"A bridge being constructed in Charlotte County which will span the Peace River, is designated as the ""Albert W. Gilchrist Bridge.""",US-41,SB 606,1976/05/28 05:00:00+00,1976,1,,,,,,,181,,0,dd133a5d-7004-431d-bd32-3cd6ba19c5d3,2188.96998421575,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,yes,1858-01-15,Found,75,TRUE,seq=20.0; human:+40; fl:+10; us:+5,"Albert Wallach Gilchrist was born on January 15, 1858, in Charleston, South Carolina, and became a prominent American politician. He served as the 20th Governor of Florida from 1909 to 1913, advocating for progressive reforms including education and infrastructure development. Gilchrist was also involved in the Confederate military during his youth and later practiced law before entering politics. He died on May 15, 1926, leaving behind a mixed legacy that includes both achievements and controversies related to racial policies of his era.","['University of Virginia (studied law)', 'Admitted to the Florida Bar, 1883']",1926-05-15,"Charleston, South Carolina, United States","Gainesville, Florida, United States",male,no,yes,yes,no,Albert W. Gilchrist
240,Charlotte,1,Babcock Intersection,"The intersection of State Road 31 and State Road 74 in Charlotte County should be designated as ""Babcock Intersection.""",SR-31,SB 655,1976/07/01 05:00:00+00,1976,1,,,,,,,182,,0,4984bb19-d1c0-4ff5-9cff-66c88147c621,12.6898281053353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Charlotte,1,Tom Adams Bridge,"The bridge constructed across Lemon Bay at the City of Englewood in Charlotte County is designated as the ""Tom Adams Bridge.""",,HB 2168,1965/06/24 05:00:00+00,1965,1,,,,,,,183,,0,f1acdd22-23ca-48a2-873e-85745a28c150,349.176626154711,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sandy_Adams,no,,Found,71,TRUE,seq=12.0; human:+40; fl:+10; us:+5,Summary extraction failed.,,,not found,not found,not found,no,no,no,no,Tom Adams
242,Collier,3,Frank Road,"That portion of Golden Gate Parkway and former S.R. 851 to the intersection of S.R. 31 in Collier County is designated as ""Frank Road.""",,HB 1905,1971/06/23 05:00:00+00,1971,1,,,,,,,184,,0,b933471f-f52c-4ba2-98fa-09d9d8020eca,8298.3120012076,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Frank_White_%28Florida_politician%29,no,,Found,69.5,TRUE,seq=12.5; last-mismatch:-4; human:+40; fl:+10; us:+5,"Frank White is a Florida-based politician and businessman who served as a member of the Florida House of Representatives from 2016 to 2022. Born in Pensacola, Florida, he is a Republican known for his conservative stances on fiscal and social issues. Before entering politics, White worked in the financial sector and owned a local business. His political career includes advocacy for limited government, education reform, and support for military and veterans' affairs in Florida.",,,"Pensacola, Florida, United States",not found,male,no,yes,no,no,Frank
243,Collier,3,Goodlette Road,"That portion of former S.R. 951 that intersects with S.R. 31 in Collier County is designated as ""Goodlette Road.""",,HB 1905,1971/06/23 05:00:00+00,1971,1,,,,,,,185,,0,f4b71674-c0e4-4a4b-b0b8-064d2757c89c,27518.4921137372,,,,,,,,,,,,,https://en.wikipedia.org/wiki/J._Dudley_Goodlette,no,1943-01-01,Found,71.9,TRUE,seq=12.9; human:+40; fl:+10; us:+5,"J. Dudley Goodlette was an American politician and attorney from Florida. Born in 1943, he served in the Florida House of Representatives from 1990 to 1998, representing Collier County. Goodlette was known for his advocacy on environmental issues and education reform during his tenure. He passed away in 2023, leaving a legacy in Florida's legislative history.","['University of Florida, Bachelor of Arts', 'University of Florida, Juris Doctor']",2023-01-01,not found,"Naples, Florida, United States",male,no,yes,no,no,Goodlette
244,Collier,3,Judge S. S. Jolley Bridge,"The Marco Island Bridge on State Road 951, located 6 miles south of United States Highway 41, over the Marco River in Collier County, is hereby designated as the ""Judge S. S. Jolley Bridge.""",SR-951,CS/HB 1023,1991/05/29 05:00:00+00,1991,1,,,,,,,186,,0,310829c7-6a71-4ac6-b667-dfe559848e83,541.734459615111,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Kristi_Noem,no,1971-11-30,Found,35,TRUE,seq=1.4; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Kristi Noem is an American politician born on November 30, 1971, in Watertown, South Dakota. She served in the South Dakota House of Representatives from 2007 to 2011 before becoming the U.S. Representative for South Dakota's at-large congressional district from 2011 to 2019. Noem made history as the first female governor of South Dakota, assuming office in January 2019 and continuing to serve in that role. Known for her conservative policies, she has been a prominent figure in Republican politics at both the state and national levels.","['Northern State University, Bachelor of Arts in Political Science', 'South Dakota State University, Graduate Studies (no degree conferred)']",,"Watertown, South Dakota, United States",not found,female,no,yes,no,no,Judge S. S. Jolley
245,Collier,3,"Ted Smallwood, Sr. Causeway","That portion of C.R. 29 in Collier County that extends from Everglades City to Chokoloskee Island is designated as the ""Ted Smallwood, Sr. Causeway.""",,HB 102-X,1957/10/29 05:00:00+00,1957,1,,,,,,,187,,0,bd662eb2-85a4-4a04-94aa-ce8479c59831,4851.01251998559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,DeSoto,4,S. Chesterfield Smith Bridge,"The bridge over the Peace River on S.R. 70 in DeSoto County near Arcadia is designated as the ""S. Chesterfield Smith Bridge.""",SR-70,SB 1235,1961/06/22 05:00:00+00,1961,1,,,,,,,188,,0,6c8f25a7-3c42-4512-9d95-2de7f6ea7ad7,94.0796036980528,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Chesterfield_Smith,no,1917-09-17,Found,55,TRUE,seq=18.5; human:+40; fl-miss:-10; us:+5,"Chesterfield Smith was an American attorney born on September 17, 1917, and passed away on August 26, 2003. He co-founded the law firm Holland & Knight and served as the President of the American Bar Association (ABA) from 1973 to 1974. Known for his leadership in the legal profession, he played a key role in advocating for legal ethics and pro bono work. The ABA established the Chesterfield Smith Award in his honor to recognize outstanding law firm pro bono programs.","['University of Florida, Bachelor of Arts (BA)', 'University of Florida Levin College of Law, Juris Doctor (JD)']",2003-08-26,"Tampa, Florida, United States","Gainesville, Florida, United States",male,no,no,yes,no,S. Chesterfield Smith
