state,highway_name,route_no,from_location,to_location,county,person_name,wikipedia_url,match_confidence,validated,validation_notes,correct_person,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score
Kansas,POW MIA Memorial Highway,Route 77,LRS measure 9.119,LRS measure 25.621,,POW MIA,https://en.wikipedia.org/wiki/Stuart_A._Herrington,50.0,true,seq=1.5; last-mismatch:-4; human:+40; state(Kansas):+10,false,"[UNVERIFIED] The provided Wikipedia article snippet is only a generic navigation menu and does not contain any content about Stuart A. Herrington. Without article content confirming the person's identity, connection to Kansas, or relevance to a POW/MIA memorial, it cannot be validated as the correct person for the highway.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,POW MIA Memorial Highway,Route 77,LRS measure 0.000,LRS measure 11.361,,POW MIA,https://en.wikipedia.org/wiki/Stuart_A._Herrington,50.0,true,seq=1.5; last-mismatch:-4; human:+40; state(Kansas):+10,false,"[UNVERIFIED] The provided Wikipedia article snippet is only a generic navigation menu and does not contain any content about Stuart A. Herrington. Without article content confirming the person's identity, connection to Kansas, or relevance to a POW/MIA memorial, it cannot be validated as the correct person for the highway.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,POW MIA Memorial Highway,Route 77,LRS measure 15.467,LRS measure 25.054,,POW MIA,https://en.wikipedia.org/wiki/Stuart_A._Herrington,50.0,true,seq=1.5; last-mismatch:-4; human:+40; state(Kansas):+10,false,"[UNVERIFIED] The provided Wikipedia article snippet is only a generic navigation menu and does not contain any content about Stuart A. Herrington. Without article content confirming the person's identity, connection to Kansas, or relevance to a POW/MIA memorial, it cannot be validated as the correct person for the highway.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,CPL Monte Wayne Forrest Memorial Highway,Route 160,LRS measure 2.682,LRS measure 3.435,,Monte Wayne Forrest,,10.4,false,seq=6.4; last-mismatch:-4; mil:+15; state-miss(Kansas):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Kansas,Harry Darby Memorial Highway,Route 635,LRS measure 7.700,LRS measure 8.566,,Harry Darby,https://en.wikipedia.org/wiki/Harry_Darby,75.0,true,seq=20.0; human:+40; state(Kansas):+10; us:+5,false,"[UNVERIFIED] The provided text is only the Wikipedia site navigation and does not contain any article content about Harry Darby. Without article content, it cannot be verified that this is the person the Harry Darby Memorial Highway in Kansas is named after.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,Harry Darby Memorial Highway,Route 635,LRS measure 0.000,LRS measure 7.297,,Harry Darby,https://en.wikipedia.org/wiki/Harry_Darby,75.0,true,seq=20.0; human:+40; state(Kansas):+10; us:+5,false,"[UNVERIFIED] The provided text is only the Wikipedia site navigation and does not contain any article content about Harry Darby. Without article content, it cannot be verified that this is the person the Harry Darby Memorial Highway in Kansas is named after.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,Rep Marvin S Robinson Memorial Highway,Route 5,LRS measure 1.746,LRS measure 3.078,,Rep Marvin S Robinson,https://en.wikipedia.org/wiki/Marvin_Robinson_%28politician%29,75.0,true,seq=16.7; human:+40; state(Kansas):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic Wikipedia interface and does not contain any content about Marvin Robinson. Without article content confirming the person's identity, profession, or connection to Kansas, it cannot be verified as the correct namesake for the highway.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,75th Division of the United States Army Highway,Route 18,LRS measure 0.000,LRS measure 0.184,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Kansas,Coach Bill Snyder Highway,Route 18,LRS measure 0.096,LRS measure 0.100,,Coach Bill Snyder,https://en.wikipedia.org/wiki/Bill_Snyder,74.7,true,seq=15.7; human:+40; state(Kansas):+10; us:+5,false,"[UNVERIFIED] The provided text is only the Wikipedia site navigation menu and does not contain any article content about a person. Without article content, there is no evidence that this is the Bill Snyder associated with a Kansas highway, which is likely named after the famous Kansas State University football coach.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,1011th Quartermaster Co. U.S. Army Reserve Memorial Highway,Route 160,LRS measure 0.000,LRS measure 0.065,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Kansas,Bonnie Huy Memorial Highway,Route 96,LRS measure 29.407,LRS measure 35.563,,Bonnie Huy,https://en.wikipedia.org/wiki/Bonnie_Huy,75.0,true,seq=20.0; human:+40; state(Kansas):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article content is only the site navigation and does not contain any information about Bonnie Huy, such as biography, connection to Kansas, or relevance for a highway memorial. Without article content confirming the person's identity or state connection, it cannot be validated as the correct person.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,Blue Star Memorial Highway,Route 40,LRS measure 0.000,LRS measure 23.170,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Kansas,Blue Star Memorial Highway,Route 40,LRS measure 23.170,LRS measure 32.021,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Kansas,Turkey Wheat Trail Highway,Route 50,LRS measure 19.362,LRS measure 38.454,,Turkey Wheat Trail,https://en.wikipedia.org/wiki/Dennis_Rader,55.0,true,seq=5.3; last-mismatch:-4; human:+40; state(Kansas):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article is about Dennis Rader, a serial killer (BTK) with no known connection to Kansas highways or memorial designations. The 'Turkey Wheat Trail Highway' in Kansas is unlikely to be named after a convicted murderer; it is more likely named after a local figure, agricultural heritage, or historical event related to turkey wheat farming in the region.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Kansas,SGT Gregg Steimel and PFC Richard Conrardy Memorial Highway,Route 50,LRS measure 13.293,LRS measure 19.362,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,Cpl. Willard Boston WallaceMemorial Highway,State Route 781,"The portion of SR 781, between mile marker 2 and mile marker 4, in Adams County",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,TSgt. Grover Lee Swearingen Memorial Highway,U.S. Route 41,"The northbound and southbound lanes of SR 41, between Peebles, Ohio and West Union, Ohio, in Adams County",,,TSgt. Grover Lee Swearingen,,0.0,false,no-candidates,,,,,,,,,,,,,,,,,,,,,,
Ohio,Governor Thomas Kirker Highway,State Route 136,"The road known as state route number one hundred thirty-six, running in a north and south direction through the counties of Adams and Highland and through the municipal corporations of Sugartree Ridge, Winchester, Cherry Fork, Bentonville, and Manchester shall be known as the ""Governor Thomas Kirker highway.""",,,Governor Thomas Kirker,https://en.wikipedia.org/wiki/Thomas_Kirker,83.9,true,seq=14.9; human:+40; pol:+15; state(Ohio):+10,true,"Thomas Kirker was an American politician who served as the second Governor of Ohio from 1807 to 1808. Born in County Down, Ireland, he immigrated to the United States and settled in Ohio. He was a member of the Ohio House of Representatives and also served as a justice of the Ohio Supreme Court. Kirker was a significant figure in early Ohio state politics.",[],1760-01-01,1837-01-01,"County Down, Ireland","Washington, D.C., United States",male,no,yes,no,no,,,,,,,,,,
Ohio,The Atlantic and Pacific Highway,State Highway 7,"The road known as state highway number seven, extending along the Ohio river between Cincinnati, Ohio, and Gallipolis, Ohio, and through the counties of Hamilton, Clermont, Brown, Adams, Scioto, Lawrence, and Gallia and through the municipal corporations of Cincinnati, New Richmond, Neville, Higginsport, Ripley, Aberdeen, Manchester, Portsmouth, Ironton, Protorville, and Gallipolis is designated as ""the Atlantic and Pacific highway."" In Rome township, Lawrence county, the said Atlantic and Pacific highway shall follow state highway number five hundred and nine instead of number seven.",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,Old Zane Trace Memorial Highway,State Route 41,"The road known as state route number forty-one, running in a northeasterly and southwesterly direction, commencing at the village of Aberdeen, in Brown county, as the junction of United States route number fifty-two, and extending through the counties of Adams, Highland, and Pike to the junction of state route number forty-one with state route number fifty, at the west junction thereof, in Ross county, shall be known as the ""Old Zane Trace Memorial Highway.""",,,Old Zane Trace,,35.0,false,seq=3.3; last-mismatch:-4; human:+40; state-miss(Ohio):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Ohio,Adams County Vietnam Veterans Memorial Highway,U.S. Route 52,The portion of U.S. Route 52 running in an easterly and westerly direction across the entire southern portion of Adams County,,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,American Legion Memorial Highway,Interstate Route 75,"The road known as interstate route seventy-five, running in a southerly direction from the city of Toledo, Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery and Warren to the city of Cincinnati, Hamilton county, shall be known as the ""American Legion Memorial Highway.""",,,American Legion,https://en.wikipedia.org/wiki/Dean_Hess,57.3,true,seq=8.3; last-mismatch:-4; human:+40; state(Ohio):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic navigation menu and does not contain any content about Dean Hess. Without article content confirming the person's identity, profession, or connection to Ohio or the American Legion Memorial Highway, it cannot be validated as the correct person.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,Pearl Harbor Memorial Highway,Interstate Route 75,"In addition to the designation in section 5533.24 of the Revised Code, the road known as interstate route seventy-five, running in a southerly direction from the city of Toledo in Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery, Warren, and Butler to the city of Cincinnati in Hamilton county, also shall be known as the ""Pearl Harbor Memorial Highway.""",,,Pearl Harbor,https://en.wikipedia.org/wiki/James_R._Ward,55.0,true,seq=4.8; last-mismatch:-4; human:+40; state(Ohio):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic navigation menu and does not contain any content about James R. Ward. Without article content, it cannot be confirmed that this is the correct person for the Pearl Harbor Memorial Highway in Ohio, which is typically named for a specific individual associated with the event.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,SPC Christian M. Neff Memorial Highway,Interstate Route 75,"The northbound and southbound lanes of I-75, between East 4th Street and National Road, in Allen and Auglaize counties",,,SPC Christian M. Neff,,0.0,false,seq=3.8; last-mismatch:-4; state-miss(Ohio):-10; nobility:-40,,,,,,,,,,,,,,,,,,,,,,
Ohio,Officer Dominic Francis Memorial Highway,Interstate Route 75,"The northbound and southbound lanes of I-75, between mile markers 143 and 139, in Allen and Hancock counties",,,Officer Dominic Francis,https://en.wikipedia.org/wiki/Francis_McDonald,56.2,true,seq=7.2; last-mismatch:-4; human:+40; state(Ohio):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article is for Francis McDonald, a silent film actor, not a law enforcement officer. The highway is named after 'Officer Dominic Francis,' indicating a police officer, and the name does not match. No connection to Ohio law enforcement is evident in the article.",[],,,not found,not found,not found,no,no,no,no,https://www.odmp.org/officer/26106-police-officer-dominic-m-francis,Police Officer Dominic M. Francis,"Police Officer Dominic Francis was struck and killed by a vehicle while deploying spike strips near mile marker 142 on southbound I-75 at about 2:30 am. Troopers with the Ohio State Highway Patrol had started pursuing the vehicle on State Route 15 after attempting a traffic stop. The vehicle fled onto I-75 and reached speeds exceeding 130 mph before striking Officer Francis. The three occupants of the vehicle then fled the scene on foot. All three were taken into custody over the next 10 hours. One subject was sentenced to 24 months for the charge of failure to comply and one year for receiving stolen property after pleading guilty. Officer Francis had served in law enforcement for 19 years. He is survived by his wife, son, and daughter. A stretch of I-75 that runs through Bufton was renamed the Officer Dominic Francis Memorial Highway. Signs are located at mile marker 139 Northbound and 143 Southbound.",42,19 years,Not available,Vehicle pursuit,"Thursday, March 31, 2022",Cause: Vehicle pursuit Weapon: Automobile Offender: Apprehended,100.0
Ohio,Thirty-seventh Division Memorial Highway,State Route 3,"The road known as state route number three, and popularly known as the ""Three C Highway,"" running in a northeasterly and southwesterly direction across the state through the counties of Cuyahoga, Medina, Wayne, Ashland, Holmes, Knox, Delaware, Franklin, Madison, Fayette, Clinton, Warren, and Hamilton and through the municipal corporations of Cleveland, Medina, Wooster, Mount Vernon, Columbus, Washington C.H., Wilmington, and Cincinnati shall be known as the ""Thirty-seventh Division Memorial Highway.""",,,Thirty-seventh Division,https://en.wikipedia.org/wiki/William_Vance_McMaken,50.0,true,seq=3.6; last-mismatch:-4; human:+40; state(Ohio):+10,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic navigation menu and does not contain any content about a person named William Vance McMaken. Without article content confirming the person's identity, profession, or connection to Ohio or the Thirty-seventh Division, it cannot be validated as the correct subject for the memorial highway.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,Forty-second Rainbow Division Memorial Highway,State Route 42,"The road known as state route number forty-two, running in a northeasterly and southwesterly direction across the state through the counties of Cuyahoga, Medina, Wayne, Ashland, Richland, Morrow, Delaware, Union, Madison, Clark, Greene, Warren, Butler, and Hamilton and through the municipal corporations of Cleveland, Medina, Ashland, Mansfield, Mt. Gilead, Delaware, London, Xenia, Lebanon, and Cincinnati shall be known as the ""Forty-second `Rainbow' Division Memorial Highway.""",,,Forty-second Rainbow Division,,35.0,false,seq=5.6; last-mismatch:-4; human:+40; state-miss(Ohio):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Ohio,Trooper James R. Gross Memorial Highway,Interstate Route 71,"In addition to the name prescribed by section 5533.32 of the Revised Code, that portion of the highway known as interstate number seventy-one, running in a northerly and southerly direction within Ashland county between mile marker number one hundred eighty-nine and mile marker number one hundred ninety-one, also shall be known as the ""Trooper James R. Gross Memorial Highway.""",,,Trooper James R. Gross,https://en.wikipedia.org/wiki/Bill_Clinton,50.0,true,seq=2.4; last-mismatch:-4; human:+40; le:+15; state-miss(Ohio):-10; us:+5,false,"[UNVERIFIED] The highway is named 'Trooper James R. Gross Memorial Highway' in Ohio, which suggests it honors a law enforcement officer (likely a state trooper) named James R. Gross. The Wikipedia article provided is for Bill Clinton, the 42nd U.S. President, who has no known connection to Ohio law enforcement or this specific memorial. The article content shown is generic Wikipedia navigation and does not mention James R. Gross or any relevant Ohio memorial.",[],,,not found,not found,not found,no,no,no,no,https://www.odmp.org/officer/14709-trooper-james-r-gross,Trooper James R. Gross,"Trooper James Gross was shot and killed during a traffic stop in Ashland on I-71. A truck driver had noticed a car driving erratically and contacted the police via CB. During the stop, Trooper Gross was shot once in his left arm. As he attempted to take cover, he slipped on the wet pavement and fell to the ground. The suspect shot him in the back as he lay on the ground. The round entered below his vest and traveled upwards through his torso. Other truckers who witnessed the shooting used their CB radios to notify authorities of the incident. The suspect was apprehended when he crashed into an embankment following a 29-mile chase. The ensuing investigation determined that the suspect had previously shot his mother in the foot. The 30-year-old suspect was initially sentenced to death. In 2005 his death sentence was commuted to life. He will be eligible for parole in June of 2044. Trooper Gross had served with the Ohio State Highway Patrol for 2 years. He was survived by his wife. A portion of Interstate 71 in Ashland County, between mileposts 189 and 191, has been dedicated and renamed the James R. Gross Memorial Highway.",27,2 years,Not available,Gunfire,"Friday, January 19, 1996",Cause: Gunfire Weapon: Handgun Offender: Sentence commuted to life,97.67441860465117
Ohio,Thomas A. Van Meter Memorial Highway,State Route 60,"The road known as state route number sixty, running in a northerly and southerly direction through Ashland county only, shall be known as the ""Thomas A. Van Meter Memorial Highway.""",,,Thomas A. Van Meter,https://en.wikipedia.org/wiki/Tom_Van_Meter,70.0,true,seq=16.2; human:+40; state(Ohio):+10,false,"[UNVERIFIED] The provided Wikipedia article content is only a generic navigation menu and does not contain any biographical information about Tom Van Meter. Without article content confirming the person's identity, connection to Ohio, or relevance for a highway memorial, it cannot be validated as the correct person.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,Fireman First Class Irving Eugene Peters Memorial Highway,State Route 39,"In addition to any other name prescribed in the Revised Code or otherwise, that portion of the road known as state route number thirty-nine, running in a northwesterly and southeasterly direction between the municipal corporations of Perrysville and Loudonville, within Ashland county only, shall be known as the ""Fireman First Class Irving Eugene Peters Memorial Highway.""",,,Fireman First Class Irving Eugene Peters,,35.0,false,seq=3.5; last-mismatch:-4; human:+40; state-miss(Ohio):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Ohio,Corporal John E. Ruch Memorial Highway,U.S. Route 20,US 20 between Center Road and Gerald Road,,,Corporal John E. Ruch,,30.0,false,seq=4.7; last-mismatch:-4; human:+40; state-miss(Ohio):-10,,,,,,,,,,,,,https://www.odmp.org/officer/11600-corporal-john-e-ruch,Corporal John E. Ruch,Corporal John Ruch was killed in an automobile accident during a high-speed pursuit on US Route 20 in Ashtabula County. He and another patrolman were en route to a defense meeting when they attempted to stop a speeding vehicle. Their patrol car went out of control on ice and snow and struck two trees. Corporal Ruch had served with the agency for 8 years and was stationed in Geneva at the time. He was survived by his wife and parents.,32,8 years,28/134,Vehicle pursuit,"Wednesday, March 4, 1942",Cause: Vehicle pursuit Weapon: Not available Offender: Not available,97.5609756097561
Ohio,The Grand Army of the Republic Highway,U.S. Route 6,"The road known as United States route number six, extending across the northern portion of the state through the counties of Williams, Henry, Wood, Sandusky, Erie, Lorain, Cuyahoga, Lake, Geauga, and Ashtabula and through the municipal corporations of Bryan, Napoleon, Bowling Green, Fremont, Sandusky, Lorain, Cleveland, and Chardon shall be known as ""the Grand Army of the Republic highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,General McPherson Highway,U.S. Route 20,"The road known as United States route number twenty, extending across the northern portion of the state through the counties of Williams, Fulton, Lucas, Wood, Sandusky, Huron, Lorain, Cuyahoga, Lake, and Ashtabula and through and municipal corporations of Fremont, Norwalk, Elyria, Cleveland, Painesville, and Ashtabula shall be known as the ""General McPherson highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,Lake to River Highway,Ohio Route 11,"The road known as Ohio route number eleven beginning at Ashtabula, Ohio, and running in a northerly and southerly direction through the counties of Ashtabula, Trumbull, Mahoning, and Columbiana to East Liverpool, shall be known as the ""Lake to River Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,Marine Private Henry Kalinowski Memorial Highway,Ohio Route 11,"In addition to the designation contained in section 5533.28 of the Revised Code, that portion of the road known as state route eleven, located only within Ashtabula county and running in a northerly and southerly direction, shall be known as the ""Marine Private Henry Kalinowski Memorial Highway.""",,,Marine Private Henry Kalinowski,https://en.wikipedia.org/wiki/Pete_Hegseth,50.5,true,seq=6.5; last-mismatch:-4; human:+40; mil:+15; state-miss(Ohio):-10; us:+5,false,"[UNVERIFIED] The highway is named after Marine Private Henry Kalinowski, a military figure from Ohio, but the Wikipedia article is for Pete Hegseth, a political commentator and military veteran with no known connection to Ohio or the specific memorial.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,World War I Veterans Highway,U.S. Route 20,"The road known as United States route number twenty, commencing at the eastern-most boundary of the municipal corporation of Ashtabula and extending in a northeasterly direction to the western-most boundary of the municipal corporation of North Kingsville, shall be known as the ""World War I Veterans Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,"Sgt. Kurt D. Schamberg, Orwell Veterans Highway",U.S. Route 322,"That portion of the road known as United States route number three hundred twenty-two, located within the municipal corporation of Orwell in Ashtabula county only, shall be known as the ""Sgt. Kurt D. Schamberg, Orwell Veterans Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,World War II Veterans Memorial Highway,State Route 84,"The eastbound and westbound lanes of SR 84, between State Road and Blake Road, in Ashtabula County",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,George Washington Highway,U.S. Route 50,"The highway known as United States route number fifty and alternate fifty, extending across the entire southern portion of the state through the counties of Washington, Athens, Vinton, Ross, Highland, Brown, Clermont, and Hamilton, and through the municipal corporations of Marietta, Belpre, Athens, Chillicothe, Hillsboro, and Cincinnati shall be known as the ""George Washington Highway.""",,,George Washington,https://en.wikipedia.org/wiki/George_Washington_White,74.0,true,seq=17.0; last-mismatch:-4; human:+40; state(Ohio):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic Wikipedia interface and does not contain any content about a person named George Washington White. Without article content, there is no evidence that this person is connected to Ohio or that a highway would be named after them.",[],,,not found,not found,not found,no,no,no,no,https://www.odmp.org/officer/16718-officer-george-washington-hall,Officer George Washington Hall,Officer George Hall was shot and killed when he and his partner attempted to arrest a mentally deranged man who was threatening to kill his wife at 7:30 pm. Officer Hall's partner was wounded but was able to return fire and kill the suspect. Officer Hall was survived by his wife.,47,Not available,Not available,Gunfire,"Monday, August 10, 1891",Cause: Gunfire Weapon: Handgun Offender: Shot and killed,100.0
Ohio,Marine Corps League memorial highway,U.S. Route 33,"That portion of the road known as United States route thirty-three beginning in Willshire, Ohio, and running in a southeasterly and northwesterly direction through the counties of Van Wert, Mercer, Auglaize, Logan, Union, Franklin, Fairfield, Hocking, Athens, and Meigs to the West Virginia border shall be known as the ""Marine Corps League Memorial Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,78th Ohio Veteran Volunteer Infantry Highway,State Route 78,"The road known as state route seventy-eight, in Monroe, Noble, Morgan, and Athens counties only, shall be known as the ""78th Ohio Veteran Volunteer Infantry Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,Army SSgt. Charles V. Kettler Memorial Highway,U.S. Route 33,"The portion of U.S. 33, between mile marker 24 and mile marker 29, in Auglaize County",,,Army SSgt. Charles V. Kettler,,0.0,false,no-candidates,,,,,,,,,,,,,,,,,,,,,,
Ohio,Army Sgt. Herbert C. Linville Memorial Highway,State Route 29,"The portion of SR 29, between mile marker 20 and mile marker 25, in Auglaize County",,,Army Sgt. Herbert C. Linville,,5.0,false,seq=6.0; last-mismatch:-4; mil:+15; state-miss(Ohio):-10,,,,,,,,,,,,,,,,,,,,,,
Ohio,Army Sgt. Ronnie Blair Memorial Highway,State Route 66,"The portion of SR 66, between mile marker 29 and mile marker 32, in Auglaize County",,,Army Sgt. Ronnie Blair,https://en.wikipedia.org/wiki/John_Bryant_%28actor%29,50.1,true,seq=6.1; last-mismatch:-4; human:+40; mil:+15; state-miss(Ohio):-10; us:+5,false,"[UNVERIFIED] The Wikipedia article is for John Bryant (actor), an American actor, not for Army Sgt. Ronnie Blair. The name, profession (actor vs. military), and lack of connection to Ohio or military service indicate a mismatch.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,American Legion Memorial Highway,Interstate Route 75,"The road known as interstate route seventy-five, running in a southerly direction from the city of Toledo, Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery and Warren to the city of Cincinnati, Hamilton county, shall be known as the ""American Legion Memorial Highway.""",,,American Legion,https://en.wikipedia.org/wiki/Dean_Hess,57.3,true,seq=8.3; last-mismatch:-4; human:+40; state(Ohio):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic navigation menu and does not contain any content about Dean Hess. Without article content confirming the person's identity, profession, or connection to Ohio or the American Legion Memorial Highway, it cannot be validated as the correct person.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,Pearl Harbor Memorial Highway,Interstate Route 75,"In addition to the designation in section 5533.24 of the Revised Code, the road known as interstate route seventy-five, running in a southerly direction from the city of Toledo in Lucas county, through the counties of Wood, Hancock, Allen, Auglaize, Shelby, Miami, Montgomery, Warren, and Butler to the city of Cincinnati in Hamilton county, also shall be known as the ""Pearl Harbor Memorial Highway.""",,,Pearl Harbor,https://en.wikipedia.org/wiki/James_R._Ward,55.0,true,seq=4.8; last-mismatch:-4; human:+40; state(Ohio):+10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic navigation menu and does not contain any content about James R. Ward. Without article content, it cannot be confirmed that this is the correct person for the Pearl Harbor Memorial Highway in Ohio, which is typically named for a specific individual associated with the event.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,Kenneth Jutte-John Garman Memorial Highway,State Route 66,"That portion of state route sixty-six located in Auglaize county and running in a northerly and southerly direction between state route one hundred nineteen and state route two hundred seventy-four, shall be known as the ""Kenneth Jutte-John Garman memorial highway.",,,Kenneth Jutte-John Garman,,35.0,false,seq=1.1; last-mismatch:-4; human:+40; state-miss(Ohio):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Ohio,Marine Corps League memorial highway,U.S. Route 33,"That portion of the road known as United States route thirty-three beginning in Willshire, Ohio, and running in a southeasterly and northwesterly direction through the counties of Van Wert, Mercer, Auglaize, Logan, Union, Franklin, Fairfield, Hocking, Athens, and Meigs to the West Virginia border shall be known as the ""Marine Corps League Memorial Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,Sgt. Todd M. Bates Memorial Highway,State Route 149,"The northbound and southbound lanes of SR 149, between SR 7 and Tabot Road, in Belmont County",,,Sgt. Todd M. Bates,,38.3,false,seq=9.3; last-mismatch:-4; human:+40; state-miss(Ohio):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Ohio,Staff Sgt. Jesse Ault Memorial Highway,Interstate Route 70,"In addition to the designations in sections 5533.09 and 5533.30 of the Revised Code, the road known as interstate route number seventy, running in an easterly and westerly direction within Belmont county between exit number two hundred eight and exit number two hundred thirteen, also shall be known as the ""Staff Sgt. Jesse Ault Memorial Highway.""",,,Staff Sgt. Jesse Ault,,0.0,false,seq=2.6; last-mismatch:-4; state-miss(Ohio):-10,,,,,,,,,,,,,,,,,,,,,,
Ohio,Lou Groza Highway,State Route 7,"That part of the road known as state route number seven located in Belmont county and included within the municipal limits of Martins Ferry shall be known as ""Lou Groza highway.""",,,Lou Groza,https://en.wikipedia.org/wiki/Alex_Groza,73.7,true,seq=14.7; human:+40; state(Ohio):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article is for Alex Groza, a basketball player, but the highway is named 'Lou Groza Highway'. Lou Groza is a different person—a famous football player and placekicker from Ohio—making Alex Groza the incorrect person for this highway designation.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,William 'Hopalong Cassidy' Boyd Memorial Highway,State Route 800,"The road known as state route number eight hundred, within the community of Hendrysburg in Belmont county only, shall be known as the ""William 'Hopalong Cassidy' Boyd Memorial Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Ohio,A.G. Lancione Memorial Highway,State Route 7,"That portion of the road known as state route number seven, located within Belmont county and running in a north and south direction, commencing north of the city of Bellaire at mile marker number fourteen and seven-tenths and extending to mile marker number seventeen and eight-tenths, shall be known as the ""A.G. Lancione Memorial Highway.""",,,A.G. Lancione,https://en.wikipedia.org/wiki/A._G._Lancione,70.0,true,seq=19.3; human:+40; state(Ohio):+10,false,"[UNVERIFIED] The provided Wikipedia article content is only a generic navigation menu and does not contain any information about A. G. Lancione, such as biography, profession, or connection to Ohio. Without substantive content confirming the person's identity or relevance, it cannot be validated as the correct subject for the A.G. Lancione Memorial Highway in Ohio.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Ohio,"Sergeant Emile DeLeau, Jr. Medal of Honor Recipient Memorial Highway.",Interstate Route 70,"In addition to any other name prescribed in the Revised Code or otherwise, that portion of interstate route seventy commencing at mile marker two hundred twenty and three - tenths and proceeding in an easterly direction to mile marker two hundred twenty-one and three-tenths, within Belmont county, shall be known as the ""Sergeant Emile DeLeau, Jr. Medal of Honor Recipient Memorial Highway.""",,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
