OBJECTID,MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies,GlobalID
61,Veteran's Memorial Highway,US-27,250.1063,"The portion of highway business route US-27 beginning at Polk road in Emerson Township in Gratiot County, continuing south through the city of Ithaca to Center Road, and continuing east to the intersection of highway business route US-27 and US-27 in Emerson Township in Gratiot County shall be named the ""Veteran's Memorial Highway"".",250-1063,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{84CDA4D9-05EB-40D1-8E39-E5F02ACBD5E6}
62,Officer Martin 'Marty' Chivas Memorial Highway,I-75,250.1012a,"The portion of highway I-75 located in the city of Troy at the Rochester Road exit shall be known as the ""Officer Martin 'Marty' Chivas Memorial Highway.""",250-1012a,"Troy Police Officer Martin Douglas Chivas was shot and killed on April 22, 1974 by two escapees from a prison farm in Marquette. Officer Chivas was investigating a burglary at a gas station on Rochester Road in Troy. The escaped prisoners, who had earlier kidnapped and killed a Marquette waitress and also killed a gas station attendant in Milwaukee, shot and killed Chivas as he stepped from his patrol car. Officer Chivas was 24 years old.",{D58E93C0-F0A9-45A8-9D23-70FE094CAC2A}
63,94th Combat Infantry Division Memorial Highway,I-94,250.1064,"That portion of highway I-94 in Calhoun County beginning at exit 92 and continuing east to the M-66 exit shall be named the ""94th Combat Infantry Division Memorial Highway"".",250-1064,"The 94th Infantry Division was a unit of the United States Army in World War II, and of the United States Army Reserve from 1956 until 1963. It continued in the Army Reserve as the 94th Command Headquarters (Divisional) from 1963 until the Army's realignment of reserve component combat arms into the Army National Guard in 1967.",{F85CA020-69C4-4A98-BA61-0FC7C5815E29}
64,Carleton Road,US-223,250.1003,"The portion of highways US-223 beginning at the intersection with US-23, M-34, and M-99 extending northwest through Monroe, Lenawee, Hillsdale, and Calhoun counties to the city of Homer shall be known as ""Carleton Road"".",250-1003,"Named in honor of Will A. Carleton, a poet born at Hudson in 1845, graduated from the Hillsdale College in 1869. He spent most of his life in the Hudson area. Carleton is best remembered for his sentimental poems of rural life, He died in Hudson in 1912.",{B64FEC84-8F12-4E45-99FE-4D3BE4B7DF24}
65,PFC Andrew H. Nelson Memorial Highway,BR-127,250.1009a,"The portion of highway Business Route 127 in Clinton County beginning at the intersection of Business Route 127 and West Walker Road and continuing south to East Townsend Road shall be known as the ""PFC Andrew H. Nelson Memorial Highway.""",250-1009a,"PFC Andrew H. Nelson, a St. Johns native, enlisted in the U.S. Army in 2004 and went to basic training shortly after graduating from high school. He volunteered to drive the lead vehicle for a Christmas Day 2006 mission through Baghdad called Dagger Iron Claw Route Clearance. An improvised explosive device detonated near his vehicle, killing Nelson and two fellow soldiers.",{65C3D3CA-17B1-4BD8-BD5D-E2809A105D3F}
66,AmVets Memorial Parkway,BL I-94,250.1018,"The portion of highway business loop I-94 located in Kalamazoo County shall be known as the ""AmVets Memorial Parkway"".",250-1018,"AMVETS (American Veterans) is the nation’s most inclusive Congressionally-chartered veterans service organization, representing the interests of 20 million veterans. AMVETS is open to and fighting for all who honorably served in the United States military, including the Reserve and Guard, with more than 250,000 members nationwide.",{40ACB5E3-0039-4838-A0DF-04DF07F36A0B}
67,Jacobetti Highway,M-28,250.1037,"Highway M-28 beginning at the intersection with highway M-123 in Chippewa County and extending west to the east city limit of the city of Negaunee shall be known as the ""Jacobetti Highway"".",250-1037,"The son of an Italian immigrant miner, Dominic Jacobetti was born in Negaunee, MI July 20, 1920 to Nicholas and Josephine (Sano) Jacobetti. He graduated from St. Paul's High School in 1938 and went to work in the Athens Mine in 1940. He eventually became President of UAW Local 4950 and United Steel Workers Local 2867. He married Marie Burnette in 1942 and had three children, Judith, Colin and Dominic, Jr. He was elected to office in 1953, and began his 40 years as Representative in 1954. Because of funding Jacobetti obtained for projects in the Upper Peninsula, his constituents and colleagues regarded him as ""Puga,"" ""King Jake,"" and the ""Godfather of the U.P."" However, he also helped various ""down-state"" areas obtain the funding they needed as well. Keeping in mind that Jacobetti often considered the entire Upper Peninsula as part of his District, he promoted the interest of industry (sometimes at the expense of the environment), strove to improve educational opportunities, and worked hard to improve economic conditions for both the State and his District.",{01A1C16E-648E-4C69-984A-69D8606EFE2E}
68,Trooper Calvin R. Jones Memorial Highway,M-52,250.1020a,"The portion of highway M-52 beginning at the intersection of highway M-52 and Carleton Road in Lenawee County and extending south to the border between Michigan and Ohio shall be known as the ""Trooper Calvin R. Jones Memorial Highway.""",250-1020a,"A native of Waldron, Michigan, Trooper Calvin R. Jones was killed in a patrol car crash on M-52 in Lenawee County on February 10, 1956, at the age of 30, while pursuing a speeding vehicle. He was a World War II veteran, and had worked for the Michigan State Police for five years.",{31A1876F-0EE9-48DB-B311-F89F468AE918}
69,AmVets Memorial Drive,"US-2,US-41,M-35",250.1016,"The portion of highway US-2 and highway US-41 and highway M-35 beginning at the northern city limit of Escanaba and extending north 1-1/10 miles to the junction of County Road No. 426, also known as the extension of Sheridan avenue, shall be known as the ""AmVets Memorial Drive"".",250-1016,"AMVETS (American Veterans) is the nation’s most inclusive Congressionally-chartered veterans service organization, representing the interests of 20 million veterans. AMVETS is open to and fighting for all who honorably served in the United States military, including the Reserve and Guard, with more than 250,000 members nationwide.",{C55E2146-BBFF-4514-B5CA-93C23371326A}
70,Joseph H. Meagher Memorial Highway,M-38,250.1045,"The portion of highway M-38 beginning at the Ontonagon village limit and extending east to the Houghton County line shall be known as the ""Joseph H. Meagher Memorial Highway"".",250-1045,"Joseph H. Meagher retired from Ontonagon County Road Commission in 1988 after 36 years of service.  He was an engineer manager heavily involved in the development of M-38 and this dedication is in honor of his efforts. The Upper Peninsula Road Builders also has a memorial scholarship in his honor.  He passed away Sunday, February 17, 1991 at his home alongside his wife Mildred.",{FD34C076-45F9-4F10-B4D5-7DF20A08E1BB}
71,James Bondsteel Memorial Highway,US-12,250.1007a,"The portion of highway US-12 within the city limits of the city of Jonesville shall be known as the ""James Bondsteel Memorial Highway.""",250-1007a,"James Bondsteel was an army staff sergeant who received the Congressional Medal of Honor for ""conspicuous gallantry and intrepidity in action at the risk of his life above and beyond the call of duty"" during his service in Vietnam. According to information provided by the sponsor's office, he was born in Jackson, moved as child to Jonesville in Hillsdale County, where he graduated from high school. Bondsteel subsequently died in Alaska in 1987. The main army base in Kosovo is named in his honor.",{64A1F69C-32F4-42C3-B139-463014D67796}
72,Underground Railroad Memorial Highway,I-94,250.208,"The portion of highway I-94 beginning at exit 98 in Calhoun County and continuing east to exit 110 in Calhoun County shall be known as the ""Underground Railroad Memorial Highway"".",250-208,"The Underground Railroad was a network of secret routes and safe houses established in the United States during the early to mid-19th century, and used by African-American slaves to escape into free states and Canada with the aid of abolitionists and allies who were sympathetic to their cause.",{10193404-1410-4E66-A4C3-F0F2272438E7}
73,Chief Ed Switalski Memorial Highway,I-94,250.1019a,"The portion of highway I-94 in Kalamazoo County between exit 80 and mile marker 86 shall be known as the ""Chief Ed Switalski Memorial Highway.""",250-1019a,"Ed Switalski served as the fire chief of Comstock Township Fire and Rescue for four years before his death on June 14, 2017, at the age of 55. Fire Chief Switalski was struck and killed by a vehicle while he was standing near a fire truck stopped on the shoulder of I-94, after responding to a crash.",{E2A268D0-07E3-4153-82DF-7B3C73CFDB3E}
74,Frank D. Fitzgerald Memorial Highway,M-43,250.1005,"The portion of highway M-43 beginning in the city of East Lansing and extending west to the city of Grand Ledge shall be known as the ""Frank D. Fitzgerald Memorial Highway"".",250-1005,"Frank Fitzgerald born January 27, 1885 in Grand Ledge, attended Ferris Institute, and in 1919 was appointed Deputy Secretary of State. He was appointed business manager for Michigan State Highway Department in 1923. In 1930 he was elected Secretary of State, and in 1934 elected Governor of Michigan. He died March 16, 1939.  ",{72CB56E2-EB05-4E5C-A99D-600133D2C309}
75,Earl DeMarse Memorial Highway,US-41,250.2064a,"The portion of highway US-41 beginning at the intersection of US-41 and highway M-28 in the city of Harvey and extending north to the intersection of US-41 and Genesee Street in the city of Marquette shall be known as the ""Earl DeMarse Memorial Highway"".",250-2064a,"Earl F. DeMarse was a corrections officer at the Michigan Department of Corrections' Marquette Branch Prison. On September 25, 1973, Mr. DeMarse was stabbed to death by an inmate at the prison. DeMarse has been recognized as the first Michigan corrections officer killed in the line of duty. He was 55 years old and had served as a corrections officer for 26 years. The Earl F. DeMarse Corrections Academy in Lansing is named after him.",{880ABE98-FA60-4D86-B38C-2189079A27BB}
76,Veterans Memorial Road,M-125,250.104,"Highway M-125 in Monroe County shall be known as ""Veterans Memorial Road"".",250-104,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{5E688682-CD68-4AEB-BC2E-3374F830D06D}
77,Underground Railroad Memorial Highway,US-131,250.2073,"The portion of highway US-131 in the township of Schoolcraft beginning at the intersection of US-131 and West U Avenue in Kalamazoo County and continuing south to the intersection of West XY Avenue and US-131 shall be known as the ""Underground Railroad Memorial Highway"".",250-2073,"The Underground Railroad was a network of secret routes and safe houses established in the United States during the early to mid-19th century, and used by African-American slaves to escape into free states and Canada with the aid of abolitionists and allies who were sympathetic to their cause.",{3F1C61C9-DBDC-480C-ABED-2C1427F3516B}
78,Trooper Larry Forreider Memorial Highway,US-23,250.1004b,"The portion of highway US-23 in Alpena County beginning at the intersection with Hamilton Road and extending north to the border between Alpena and Presque Isle Counties shall be known as the ""Trooper Larry Forreider Memorial Highway.""",250-1004b,"Trooper Larry Forreider was killed on December 5, 1974, after being shot near Alpena, Michigan. According to the Michigan State Police, Trooper Forreider and his partner had stopped a vehicle for defective tail lights. When his partner noticed a weapon in the vehicle, the passengers were ordered to step outside. At this point, the driver fired at Trooper Forreider. In 1975, the State Police Medal of Valor was bestowed posthumously in tribute to Trooper Forreider. He was the 30th Michigan State Police officer to die in the line of duty.",{1B34E95D-892D-4FBF-B462-EB351D63DA46}
79,Detective Lavern S. Brann Memorial Highway,BL I-94,250.1089a,"The portion of business loop I-94 between the eastern and western city limits of the city of Battle Creek shall be known as the ""Detective LaVern S. Brann Memorial Highway"".",250-1089a,"Detective LaVern Brann had a distinguished career with the Battle Creek Police Department, working in narcotics, crisis negotiation, emergency response, and violent crime investigation for roughly 20 years. He served as a community service officer, field training officer, and bloodborne pathogen coordinator, and was named the Department's ""Officer of the Year"" in 2002. He also received numerous accolades for his community involvement, which included service on the Pennfield Schools board of education as well as participation in the Peer Listening program, the American Red Cross, the Emergency Preparedness Expo, and the Substance Abuse Council. The Veterans of Foreign Wars named him ""Police Officer of the Year"" and he also was honored by the American Red Cross and the Advocates at St. Philip.",{3528F993-4670-4945-B23E-45872107C95B}
80,Matt Urban Memorial Bridge,US-24,250.1095,"The bridge on highway US-24 in Monroe county between North Custer road and South Custer road shall be known as the ""Matt Urban Memorial Bridge"".",250-1095,"Lieutenant Colonel Urban received over a dozen individual decorations for combat from the U.S. Army, including seven Purple Hearts. In 1980, he received the Medal of Honor and four other individual decorations for combat belatedly for his actions in France and Belgium in 1944. In Section 7a of the ""Prominent Military Figures"" portion of Arlington National Cemetery's webpage, there is the statement, ""Lt. Col. Matt Urban - World War II infantry officer who earned the distinction as the most decorated soldier in WW II"".  ",{D4CFA842-1040-4325-AE37-A2A57D1D4154}
81,Veterans Memorial Bridge,US-141,250.1073,"The bridge on highway US-141 over the Menominee river in Dickinson county between Breitung township and the city of Niagara in the state of Wisconsin shall be known as the ""Veterans Memorial Bridge"".",250-1073,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{8A9530A6-0C7F-4E08-BD34-CF30E192F8BF}
82,Peter A. Pettalia Memorial Highway,US-23,250.1012b,"The portion of highway US-23 in Presque Isle County between Maple Drive and Misiak Highway shall be known as the ""Peter A. Pettalia Memorial Highway"".",250-1012b,"Representative Peter A. Pettalia, elected in 2010, was serving his third and final term in the House of Representatives when he was killed on the evening of September 12, 2016 on M-33, just south of Atlanta, Michigan, en route to Lansing on his motorcycle. During his final term as legislator, Representative Pettalia, chaired the House Committee on Transportation and Infrastructure and served as vice chair of the Financial Services Committee. He served as Presque Isle Township supervisor for 16 years and as a volunteer firefighter for 15 years. He also helped run an auto repair business for more than 30 years, according to his official biography. ",{9CF1A581-34EE-465E-9E5D-24435DFB0BD8}
83,Lansing Firefighter Dennis E. Rodeman Memorial Highway,I-96,250.1005a,"The portion of highway Business Route I-96 within the city limits of the city of Lansing shall be known as the ""Lansing Firefighter Dennis E. Rodeman Memorial Highway",250-1005a,"Dennis E. Rodeman was a seven-year veteran firefighter and emergency medical technician with the Lansing Fire Department. Prior to his career in Lansing, Rodeman worked as a firefighter in Vermontville, and served a tour of duty in Fallujah, Iraq, in Charlie Company, 1st Battalion of the 24th Marine Regiment, United States Marine Corps. He was a graduate of Maple Valley High School located in Vermontville. Rodeman died on September 9, 2015, from injuries sustained after being hit by a vehicle while collecting donations for a ""Fill the Boot"" fund-raiser for muscular dystrophy.",{228111F6-DFE2-4090-8AC3-89F7525587EA}
84,107th Engineer Memorial Road,M-107,250.101,"Highway M-107 in Ontonagon County shall be known as the ""107th Engineer Memorial Road"".",250-101,"The 107th Engineer Battalion is a large unit of the Michigan Army National Guard stationed in Ishpeming Michigan. The unit operates in the Upper Peninsula of Michigan and is composed of the Headquarters Company stationed in Ishpeming and 1430th, 1431st, 1432nd, and 1437th Engineer Companies which are stationed across other various cities in Northern Michigan with the battalion headquarters in Ishpeming, Michigan.",{E72C1827-61DF-479C-86F7-7364790C23D9}
85,Mitchel A. Kiefer Foundation for Distracted Driver Awareness Highway,I-96,250.1023a,"The portion of highway I-96 beginning at mile marker 122 and extending west to mile marker 118 shall be known as the ""Mitchel A. Kiefer Foundation for Distracted Driver Awareness Highway"".",250-1023a,"Mitchel Kiefer, a native of Northville, a Detroit Catholic Central graduate, and a Michigan State University student, was killed at the age of 18 after his car was rear-ended and forced across the median into oncoming traffic on I-96 near the Williamston Road exit on September 19, 2016, while he was returning to Michigan State University. Reportedly, the offending driver was speeding and using a mobile messaging application called Snapchat, and evidently was oblivious to Mr. Kiefer's vehicle. The Kiefer family developed the Kiefer Foundation to raise awareness about distracted driving, and to make highways safer. Reportedly, the Foundation raised over $1.0 million in its first year.
According to mlive.com, the Foundation is investing $300,000 with the Michigan Department of
Transportation to erect 1.7 miles of cable barriers along I-96 in the area of the accident. The
median Mitchel Kiefer was forced across was narrow, being only 52 feet across. Naming a highway after him would be a fitting way to memorialize Mr. Kiefer, and would serve as an important reminder about the dangers of distracted driving.",{511CD533-C445-4C85-8C00-F0EDDE3CCEA2}
86,United Spanish War Veterans' Memorial Highway,"US-2,M-35,M-41,M-95,M-69",250.1008,"The portion of US-2 beginning in St. Ignace and extending west to Gladstone, the portion of M-35 beginning in Gladstone and extending south to Wells, the portion of US-2 and M-41 beginning at Wells and extending west to Hermansville, the portion of US-2 beginning at Hermansville and extending west to Iron Mountain, the portion of M-95 beginning at Iron Mountain and extending north to Sagola, the portion of M-69 beginning at Sagola and extending west to Crystal Falls, and the portion of US-2 beginning in Crystal Falls and extending west to Ironwood shall be known as the ""United Spanish War Veterans' Memorial Highway"".",250-1008,"The United Spanish War Veterans was an American Veterans organization which consisted of veterans of the Spanish–American War, Philippine–American War and China Relief Expedition",{156A6DD7-0653-4B7E-AB63-390440EDDE7E}
87,Veteran's Memorial Highway,M-62,250.1093,"Highway M-62 in Cass County from the eastern city limit of Dowagiac and continuing southeast to the western city limit of Cassopolis shall be known as the ""Veteran's Memorial Highway.""",250-1093,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{496DF446-898B-4E91-9A43-31D9BEC9BCD5}
88,Officer James Bonneau Memorial Bridge,"M-50,US-127BR",250.2077,"The bridge on West Avenue in Jackson County between Ganson Street and Wildwood Avenue shall be known as the ""Officer James Bonneau Memorial Bridge"".",250-2077,"Police Officer James Bonneau was shot and killed after responding to a domestic disturbance. Officer Bonneau and an officer from the Blackman Township Department of Public Safety were following up on a report from earlier in the night of a domestic incident. When they arrived, the suspect opened fire, killing Officer Bonneau and wounding the Blackman Township officer. The suspect was shot and killed by the officers. Officer Bonneau had served with the Jackson Police Department for two years. He is survived by his fiancée, parents, sister, and brother.",{BBCC5A65-197F-4260-AE6F-3D07D0A860F7}
89,Dr. Martin Luther King Jr. Memorial Highway,BL I-94,250.1036,"Highway I-94 business loop in the city of Albion shall be known as the ""Dr. Martin Luther King, Jr., Memorial Highway"".",250-1036,"Martin Luther King Jr. was a Baptist minister and social activist, who led the Civil Rights Movement in the United States from the mid-1950s until his death by assassination in 1968.",{0D48B983-E22C-4A17-BECA-B8C25564EAE4}
90,Fallen Soldiers of Iraqi Freedom Memorial Highway,US-24,250.108,"The portion of US-24 beginning at the border of Michigan and Ohio in Monroe County and continuing north to the intersection of US-24 and M-125 in Monroe County shall be known as the ""Fallen Soldiers of Iraqi Freedom Memorial Highway"".",250-108,"Operation Iraqi Freedom began in March of 2003. According to the United States Department of Defense, there were 4,424 total deaths, including both killed in action and non-hostile.",{1AA37F57-0492-4B15-9F29-8C208EE1DA44}
91,Major Andrew Becker USAF Memorial Hwy,US-23,250.1017a [1],"The portion of highway US-23 in Presque Isle County beginning at the easternmost intersection of highway US-23 and Evergreen Highway and extending west to the westernmost intersection of highway US-23 and Evergreen Highway shall be known as the ""Major Andrew Becker USAF Memorial Hwy.""",250-1017a [1],"On March 14, 2017, Major Andrew Becker, along with two others, died after his military aircraft crashed while landing during a 318 Special Operations training sortie in New Mexico. He was 33 years old and had served in the United States Air Force for 10 years, according to the Detroit News. He was deployed nine times, flew 459 combat missions, and was awarded 22 Air Force service medals. Major Becker attended Novi High School and Embry-Riddle Aeronautical University in Daytona Beach. He also was pursuing a Master of Science degree in Space Studies at American Military University.",{8FCE49C0-1A47-4692-91DD-0676F410968D}
92,Veterans Memorial Highway,M-28,250.1079,"Highway M-28, beginning at the eastern city limits of Ishpeming in Marquette County and continuing west through Baraga County, Houghton County, Ontonagon County, and Gogebic County to the intersection of highway M-28 and highway US-2, shall be known as the ""Veterans Memorial Highway"".",250-1079,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{11D83836-9D59-481B-9599-E27E443C75C8}
93,Heath Michael Robinson Cut River Memorial Bridge,US-2,250.2068,"The bridge on highway US-2 over the Cut river in Mackinac county shall be known as the ""Heath Michael Robinson Cut River Memorial Bridge"".",250-2068,"Chief Special Warfare Operator (SEAL) Heath M. Robinson, 34, of Detroit, Michigan was enlisted in January 1996. Robinson completed Basic Underwater Demolition/SEAL School in January, 2000. He served with two West Coast-based special warfare units from March 2000 to April 2004, and later served with four East Coast-based special warfare units beginning in April 2004. His decorations include four Bronze Star Medals, three with ‘V’ for valor; Joint Service Commendation Medal; three Navy and Marine Corps Commendation Medals, two with ‘V’ for valor; Joint Service Achievement Medal; three Navy and Marine Corps Achievement Medals; Combat Action Ribbon; two Presidential Unit Citations; Navy Meritorious Unit Commendation; five Navy Good Conduct Medals; Navy Fleet Marine Force Ribbon; National Defense Service Medal; Armed Forces Expeditionary Medal; two Afghanistan Campaign Medals; Iraq Campaign Medal; Global War on Terrorism Expeditionary Medal; Global War on Terrorism Service Medal; six Sea Service Deployment Ribbons; NATO Medal; Navy Expert Rifleman Medal and Navy Expert Pistol Shot Medal.",{4A93315A-1DA6-45DB-A6A6-0F0CFEE31EF8}
94,Sojourner Truth Memorial Highway,M-66,250.1028,"The portion of highway M-66 that is in Calhoun County shall be known as the ""Sojourner Truth Memorial Highway"".",250-1028,"She was born enslaved in New York in 1797 as ""Isabella Baumfree"". She had 12 brothers and sisters. As a child, she spoke only Dutch. 1826 was an important year in Isabella’s life. It was the year she “walked” away from slavery. In 1976, as part of the national Bicentennial celebration, the Calhoun County section of state highway M-66 was named ""Sojourner Truth Memorial Highway.",{B6EF294B-D5F0-4311-9736-3157461DF5BB}
95,Harry Gast Parkway,M-63,250.206,"The portion of highway M-63 in Berrien county beginning at the intersection of M-63 and the Blossomland bridge and continuing north until the intersection of M-63 and Klock road shall be known as the ""Harry Gast Parkway"".",250-206,"Gast grew up in Berrien County and graduated from St. Joseph High School in 1938. He became a farmer in Lincoln Township and got involved in local politics in the 1950s, serving as Lincoln Township treasurer for 18 years, including a stint as township supervisor and president of the Evens Schools board. He served his first term as a state representative in 1970 and was elected to three subsequent terms. In 1978, he was elected to the state Senate. He was elected again in 1982, 1986, 1990 and 1994. He served as the chair of the appropriations committee for 19 years, and has been lauded many times for his fairness and loyalty to his constituents. Gast died on July 30, 2015 at the age of 94.",{4EF03FD2-BADA-4F62-BB2E-328DB08A2536}
96,Trooper Robert J. Mihalik Memorial Highway,Red Arrow HWY,250.1016b,"The portion of the Red Arrow Highway in Berrien County beginning at the intersection with Glenlord Road and extending north to the intersection with Hilltop Road shall be known as the ""Trooper Robert J. Mihalik Memorial Highway",250-1016b,"Robert J. Mihalik was a State Police Trooper born in Niles in 1947 and lived with his family in Lincoln Township in Berrien County. He graduated from Lakeshore High School in 1965 and from Michigan State University in 1973. Trooper Mihalik was shot and killed on September 9, 1984, while attempting to arrest a man who had robbed a Benton Township gas station. He was 37 years old at the time of his death.",{2FE8680D-4643-494A-A8B4-4E6D28A82ED2}
97,Ontonagon County Veterans Memorial Bridge,M-64,250.2066,"The bridge on highway M-64 over the Ontonagon River in the township of Ontonagon shall be known as the ""Ontonagon County Veterans Memorial Bridge"".",250-2066,Named in honor of United States military veterans with a special connection to Ontonagon County.,{9FE15463-B7BE-4E76-BA06-0CEBA9C70601}
98,Kenneth J. Moraska Memorial Highway,US-2,250-1006a,The portion of Highway US-2 that is within the city limits of the city of Norway in Dickinson County shall be known as the “Kenneth J. Moraska Memorial Highway”.,250-1006a,"Patrolman Kenneth Moraska was shot and killed after responding to a domestic disturbance. When Patrolman Moraska arrived at the scene of the domestic dispute he reportedly found the front door locked and in an attempt to enter the building approached the rear door. As he approached the rear door of the house he was shot in the head with a hunting rifle. The suspect had been previously arrested by Patrolman Moraska for disorderly conduct. After shooting Patrolman Moraska, the suspect stole Patrolman Moraska's gun and lead other officers on a 6-hour chase before being apprehended. On December 1, 1971, the suspect was convicted of second degree murder and sentenced to life without the possibility of parole.",{003955D1-E00E-4D5F-A2C4-AD496E85F85F}
99,Roberts-Linton Highway and Veterans of World War I Memorial Highway,"I-75,US-23",250.1004,"The portion of highway I-75 and US-23 beginning in the city of Saginaw and extending north to the city of Bay City shall be known as the ""Roberts-Linton Highway"" and as the ""Veterans of World War I Memorial Highway"".",250-1004,Rolla W. Roberts was a civil engineer for the City of Saginaw.  He died trageically in an automobile accident at the age of 72 in Durand Hospital.               William S. Linton was a member of the Michigan House of Representatives from 1887-1888. He was appointed in 1919 as a member of the Michigan State Board of Tax Commissioners and was named secretary a few weeks before his death in Lansing. Mr. Lincoln was interred in Forest Lawn Cemetery in Saginaw.                                                                     The Senate Resolution No 35 of 1931-2 noted Roberts and Linton as pioneers who visualized the construction of US 23 between Saginaw and Bay City.                                                                                                                                                                                                   ,{50E6C772-5E9A-462C-8648-D0E4BCAC343F}
100,Tpr. Steven B. Devries Memorial Highway,US-12,250.1004a,"The portion of highway US-12 in Berrien County beginning at the intersection of US-12 and highway M-60 and continuing west to the intersection of highway US-12 and highway US-31 shall be known as the ""Tpr. Steven B. Devries Memorial Highway",250-1004a,"Trooper Steven B. Devries was shot and killed near Niles, Michigan, on October 12, 1972. Trooper Devries was on patrol when he received a call regarding a bank alarm in the City of Niles. Other officers responding to the robbery observed that Trooper Devries had stopped a vehicle with one subject. The trooper was shot by the subject during the stop and died at a local hospital from his wounds. He was 32 years old, and survived by his wife and two children. Investigating officers found that Trooper Devries had written the subject's name and address on a notepad. The subject was later apprehended, admitted to both the bank robbery and the murder, and was sentenced to life imprisonment. He escaped prison on July 4, 1987, and was later killed in a gun battle with sheriff deputies in Mississippi, while fleeing from another bank robbery. Trooper Devries was the 28th Michigan State Police officer to die in the line of duty.",{219B35F4-6D5C-4E49-8EC0-210BDD4A5CD2}
101,Leif Erikson Memorial Highway,M-95,250.1009,"The portion of highway M-95 beginning at the border between Michigan and Wisconsin in Dickinson County and extending north to Champion in Marquette County shall be known as the ""Leif Erikson Memorial Highway"".",250-1009,"Named in honor of Leif Erickson, a Norse explorer, born in Iceland and son of Eric the Red, discoverer and colonizer of Greenland. It is believed that Leif Erickson visited the shores of North America! early in the lith century, Dedicated by (Resolution of 1952). It has been said that Eriksson is considered by many to be the first European to reach North America, centuries ahead of Christopher Columbus.  In1964 the United States Congress authorized the president to proclaim each October 9 as Leif Eriksson Day.",{05AF1E1F-B4F3-4DF1-A476-BC00A2C2F6FA}
102,Deputy Grant Whitaker Memorial Highway,M-52,250.1010a,"The portion of highway M-52 in Stockbridge Township in Ingham County that extends from the southern intersection of highway M-52 and highway M-106 to the intersection of highway M-52 and highway M-36 shall be known as the ""Deputy Grant Whitaker Memorial Highway",250-1010a,"Deputy Grant Whitaker was killed at the age of 25 on December 7, 2014, after his patrol car crashed while in pursuit of a fleeing vehicle. Deputy Whitaker had worked for the Ingham County Sheriff's Office for a little over a year and a half at the time of the incident. He grew up in the Stockbridge area and previously worked as a police officer. ",{E94D7E1F-251C-4F73-9AD0-8A8FCE45DF22}
103,Candice Dunn Memorial Highway,M-59,250.1012a [1],"The portion of highway M-59 located within Livingston County shall be known as the ""Candice Dunn Memorial Highway.""",250-1012a [1],"Michigan Department of Corrections employee Candice Dunn died in a crash on May 9, 2017, on M-59 in Livingston County while returning from the Department's Employee Appreciation banquet, where she received a special honor. Ms. Dunn was the Department's 2017 Parole/Probation Agent of the Year, and a 12-year veteran with the Department who worked in the Eastern District Probation Office, Troy Probation Office and as a drug court agent in Wayne County. Ms. Dunn also was a criminal justice instructor at South University in Novi.",{195437C3-D416-4AF4-AD64-3CC61E82CA7B}
104,Veterans Highway,M-66,250.1017a,"The portion of highway M-66 beginning at the intersection with highway M-55 in Lake City extending north to the intersection with highway M-72 in Kalkaska shall be known as the ""Veterans Highway.""",250-1017a,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{83CD176A-CEBA-4131-976B-AFB18E73CE60}
105,Louis Chevrolet Freeway,I-69,250.1022,"The portion of highway I-69 beginning at the Shiawassee-Genesee county line and extending east to the Genesee-Lapeer county line shall be known as the ""Louis Chevrolet Freeway"".",250-1022,"Louis Chevrolet, (born December 25, 1878, La Chaux de Fonds, Neuchâtel, Switzerland—died June 6, 1941, Detroit, Michigan, U.S.), automobile designer and racer whose name is borne by the Chevrolet Division of General Motors, an enterprise from which he derived little profit and of which he was a minor employee in the last years of his life. He emigrated to the United States from France in 1900. Five years later, in his first automobile race, he defeated the great American driver Barney Oldfield, and thereafter he set records on every important track in the United States. His time for the measured mile, 52.8 seconds, was, in 1905, remarkable. In 1911, with William Crapo Durant, he built the first Chevrolet car, but he had little confidence in it, and in 1915 he sold his interest to Durant, who, the next year, brought the Chevrolet Motor Company into the General Motors organization.",{5DED1C91-1D9B-4FB7-9D30-7644484CE909}
